snomed_id,name,display_name,synonyms,level_concept,type_concept,type_information,active
123948009,Post-viral disorder,Post-viral disorder,"['Post-viral disorder', 'Post-viral disorder (disorder)']",granular,Disorder,SelfHistory,
123971006,Colles' fracture,Colles fracture,"[""Colles' fracture"", ""Colles' fracture (disorder)""]",granular,Disorder,SelfHistory,
12463005,Infectious gastroenteritis,Infectious gastroenteritis,"['Infectious gastroenteritis', 'Septic gastroenteritis', 'Gastric flu', 'Infectious gastroenteritis (disorder)']",granular,Disorder,SelfHistory,
125598003,Injury of wrist,Injury of wrist,"['Injury of wrist', 'Injury of wrist (disorder)', 'Wrist injury']",granular,Disorder,SelfHistory,
125599006,Injury of hand,Injury of hand,"['Injury of hand', 'Injury of hand (disorder)', 'Hand injury']",granular,Disorder,SelfHistory,
125601008,Injury of knee,Injury of knee,"['Injury of knee', 'Injury of knee (disorder)', 'Knee injury']",granular,Disorder,SelfHistory,
125603006,Injury of ankle,Injury of ankle,"['Injury of ankle', 'Injury of ankle (disorder)', 'Ankle injury']",granular,Disorder,SelfHistory,
125604000,Injury of foot,Injury of foot,"['Injury of foot', 'Injury of foot (disorder)', 'Foot injury']",granular,Disorder,SelfHistory,
125605004,Fracture of bone,Fractures,"['Fracture of bone', 'Fracture', 'Broken bone', 'Fracture of bone (disorder)']",group,Disorder,SelfHistory,
125643001,Open wound,Open wounds,"['Open wound (disorder)', 'Open wound', 'Open wound of body region']",group,Disorder,SelfHistory,
125666000,Burn,Burn (disorder),"['Burn (disorder)', 'Burn']",granular,Disorder,SelfHistory,
125667009,Contusion,Contusion,"['Contusion (disorder)', 'Contusion', 'Bruising', 'Bruise']",group,Disorder,SelfHistory,
125871005,Fracture of coccyx,Fracture of coccyx,"['Fracture of coccyx', 'Fracture of coccyx (disorder)']",granular,Disorder,SelfHistory,
1264397009,,Family history: Scleroderma,,granular,Situation,FamilyHistory,
126485001,Urticaria,Urticaria,"['Urticaria', 'Urticaria (disorder)']",group,Disorder,SelfHistory,
126660000,Deviated nasal septum,Deviated nasal septum,"['Deviated nasal septum', 'Deviated nasal septum (disorder)']",granular,Disorder,SelfHistory,
126824007,Neoplasm of stomach,Gastric cancer,"['Neoplasm of stomach', 'Tumour of stomach', 'Tumor of stomach', 'Neoplasm of stomach (disorder)']",granular,Disorder,SelfHistory,
126859007,Neoplasm of pancreas,Pancreatic cancer,"['Neoplasm of pancreas', 'Tumor of pancreas', 'Tumour of pancreas', 'Neoplasm of pancreas (disorder)']",granular,Disorder,SelfHistory,
126880001,Neoplasm of kidney,Renal cancer,"['Neoplasm of kidney', 'Neoplasm of kidney (disorder)', 'Renal tumour', 'Tumour of kidney', 'Tumor of kidney', 'Renal tumor']",group,Disorder,SelfHistory,
126885006,Neoplasm of bladder,Bladder cancer,"['Neoplasm of bladder', 'Neoplasm of bladder (disorder)', 'Tumour of urinary bladder', 'Tumor of urinary bladder', 'NGB - New growth of bladder']",granular,Disorder,SelfHistory,
126900000,Neoplasm of testis,Testicular cancer,"['Neoplasm of testis', 'Tumour of testis', 'Tumor of testis', 'Neoplasm of testis (disorder)']",granular,Disorder,SelfHistory,
126951006,Neoplasm of central nervous system,Malignancy of central nervous system,"['Neoplasm of central nervous system', 'Neoplasm of central nervous system (disorder)']",group,Disorder,SelfHistory,
127013003,Disorder of kidney due to diabetes mellitus,Diabetic Nephropathy,"['Diabetic renal disease', 'Diabetic nephropathy', 'Renal disorder associated with diabetes mellitus', 'Kidney disorder due to diabetes mellitus', 'Disorder of kidney due to diabetes mellitus (disorder)', 'Disorder of kidney due to diabetes mellitus']",granular,Disorder,SelfHistory,
127018007,Neoplasm of thyroid gland,Thyroid Cancer,"['Neoplasm of thyroid gland', 'Thyroid tumour', 'Tumour of thyroid gland', 'Thyroid tumor', 'Tumor of thyroid gland', 'Neoplasm of thyroid gland (disorder)']",granular,Disorder,SelfHistory,
127034005,Pancytopenia,Pancytopenia,"['Pancytopenia', 'Pancytopenia (disorder)']",granular,Disorder,SelfHistory,
127040003,Sickle cell-hemoglobin SS disease,Sickle cell anemia,"['Sickle cell anemia', 'Hemoglobin S-S disease', 'Drepanocythemia', 'Drepanocythaemia', 'Sickle cell anaemia', 'Haemoglobin S disease', 'Haemoglobin S-S disease', 'Hemoglobin S disease', 'Hb S disease', 'Hb SS disease', 'Hereditary hemoglobinopathy disorder homozygous for hemoglobin S', 'Sickle cell-hemoglobin SS disease', 'Sickle cell-haemoglobin SS disease', 'Sickle cell-hemoglobin SS disease (disorder)', 'Hereditary haemoglobinopathy disorder homozygous for haemoglobin S']",granular,Disorder,SelfHistory,
127062003,Erythrocytosis,Polycythemia Vera,"['Erythrocytosis', 'Polycythemia', 'Polycythaemia', 'Erythrocytosis (disorder)']",granular,Disorder,SelfHistory,
127086001,Cervical lymphadenopathy,Cervical lymphadenopathy,"['Cervical lymphadenopathy', 'Cervical lymphadenopathy (disorder)']",granular,Disorder,SelfHistory,
127189005,Axillary lymphadenopathy,Axillary lymphadenopathy,"['Axillary lymphadenopathy', 'Axillary lymphadenopathy (disorder)']",granular,Disorder,SelfHistory,
127286005,Fracture of upper end of humerus,Fracture of upper end of humerus,"['Fracture of upper end of humerus', 'Fracture of proximal end of humerus', 'Fracture of upper end of humerus (disorder)']",granular,Disorder,SelfHistory,
