condition_snomed_id,speciality_id,weight
398057008,10,very_high
71760005,10,very_high
76627001,10,medium
230456007,10,very_high
7180009,10,very_high
127295002,10,very_high
74351001,10,high
21454007,10,high
32914008,10,very_high
13445001,10,low
91637004,10,very_high
19886006,10,very_high
26039008,10,very_high
128210009,10,high
24700007,10,very_high
95453001,10,high
37796009,10,medium
721764008,10,very_high
240216005,10,very_high
230297002,10,very_high
418186002,10,medium
25044007,10,high
398760006,10,high
398565003,10,very_high
26538006,10,very_high
69195002,10,very_high
59051007,10,very_high
36083008,10,very_high
128608001,10,high
27982003,10,very_high
68675004,10,very_high
193031009,10,very_high
35386004,10,very_high
110030002,10,very_high
57406009,10,medium
128209004,10,very_high
193093009,10,very_high
26929004,10,very_high
26843008,10,high
189179009,10,high
230722002,10,very_high
230690007,10,very_high
387800004,10,high
86044005,10,very_high
230631009,10,high
60404007,10,high
240215009,10,very_high
111541001,10,medium
52448006,10,high
237662005,10,very_high
37151006,10,high
202708005,10,very_high
81004002,10,medium
78569004,10,very_high
82271004,10,very_high
52404001,10,rare
247389006,10,very_high
84757009,10,very_high
43763009,10,very_high
237722004,10,medium
52947006,10,low
230572002,10,medium
68267002,10,high
58756001,10,very_high
230192003,10,very_high
792004,10,very_high
40956001,10,very_high
23919004,10,low
203082005,10,medium
60380001,10,very_high
31384009,10,high
230634001,10,very_high
68566005,11,very_high
76618002,11,medium
52254009,11,very_high
95570007,11,high
191306005,11,very_high
38341003,11,low
38481006,11,very_high
127013003,11,very_high
23697004,11,very_high
70650003,11,high
237751000,11,high
47270006,11,high
709044004,11,very_high
38822007,11,high
15771004,11,high
68566005,12,medium
76618002,12,very_high
51070004,12,very_high
52254009,12,low
399068003,12,very_high
15628003,12,low
48723006,12,high
735476006,12,high
281623008,12,high
266113007,12,medium
127013003,12,medium
95570007,12,very_high
709044004,12,low
186729003,12,very_high
266569009,12,very_high
70650003,12,very_high
38822007,12,high
240542006,12,very_high
88518009,13,medium
72000004,13,high
2576002,13,very_high
25044007,13,very_high
39450006,13,very_high
76627001,13,very_high
127295002,13,high
57190000,13,very_high
87614000,13,very_high
41256004,13,very_high
83901003,13,very_high
95695004,13,very_high
1489008,13,very_high
77489003,13,very_high
37796009,13,low
38101003,13,very_high
25093002,13,very_high
77971008,13,very_high
815008,13,very_high
23986001,13,very_high
282752000,13,very_high
65636009,13,very_high
111522004,13,very_high
4927003,13,very_high
82649003,13,very_high
310701003,13,high
91514001,13,very_high
1482004,13,very_high
85777005,13,very_high
9826008,13,very_high
444248002,13,very_high
398760006,13,very_high
399068003,14,very_high
363354003,14,very_high
254837009,14,very_high
126537000,14,high
721188000,15,high
237684005,15,very_high
38804009,15,very_high
302835009,15,high
14304000,15,high
4598005,15,medium
61530001,15,high
64859006,15,low
30664006,15,high
78146007,15,high
34486009,15,very_high
10623005,15,very_high
74728003,15,very_high
25093002,15,high
237662005,15,high
302866003,15,high
66931009,15,high
237722004,15,very_high
230572002,15,very_high
38481006,15,very_high
472969004,15,very_high
127014009,15,very_high
127013003,15,very_high
397827003,15,very_high
36976004,15,high
40930008,15,very_high
68225006,15,low
363732003,15,very_high
386584007,15,very_high
47270006,15,very_high
56317004,15,medium
237751000,15,very_high
44054006,15,very_high
15771004,15,very_high
420422005,15,very_high
189179009,15,high
371087003,15,very_high
46635009,15,very_high
74107003,15,very_high
402599005,15,very_high
21007002,16,high
60380001,16,very_high
58703003,16,very_high
58690002,16,very_high
